id,desc,manufacturer,calories,carbs,fat,protein
21130,"Fast foods, onion rings, breaded and fried",,411,43.58,25.23,3.86
21138,"Fast foods, potato, french fried in vegetable oil",,312,41.44,14.73,3.43
21139,"Fast foods, potato, mashed",,89,14.65,2.82,1.65
21141,Vanilla Shake,Burger King Corporation,168,19.03,8.74,3.19
21142,"Fast food, biscuit",,370,42.82,18.92,7.08
21143,Chick-n-Strips,Chick-Fil-A,228,10.39,11.2,21.4
21144,hash browns,Chick-Fil-A,301,30.51,18.5,3.0
21150,"sweet onion chicken teriyaki sub on white bread with lettuce, tomato and sweet onion sauce",Subway,155,22.54,2.37,10.91
21151,"Fast foods, submarine sandwich, sweet onion chicken teriyaki on white bread with lettuce, tomato and sweet onion sauce",,155,22.54,2.37,10.91
21152,SUBWAY CLUB sub on white bread with lettuce and tomato,Subway,146,20.36,2.42,10.66
21153,"Fast foods, submarine sandwich, turkey, roast beef and ham on white bread with lettuce and tomato",,146,20.36,2.42,10.66
21154,"Fast foods, submarine sandwich, oven roasted chicken on white bread with lettuce and tomato",,157,21.35,3.15,10.84
21155,"Fast foods, submarine sandwich, turkey breast on white bread with lettuce and tomato",,147,22.42,2.31,9.12
21156,"Fast foods, submarine sandwich, ham on white bread with lettuce and tomato",,151,22.91,2.53,9.12
21157,meatball marinara sub on white bread (no toppings),Subway,219,26.01,8.45,9.77
21158,"Fast foods, submarine sandwich, meatball marinara on white bread",,219,26.01,8.45,9.77
21159,"Steak & Cheese Sub on white bread with American cheese, lettuce and tomato",Subway,183,21.49,5.34,12.29
21160,"Submarine Sandwich, steak and cheese on white bread with cheese, lettuce and tomato",,183,21.49,5.34,12.29
